"title","author","subject","abstract","date"
"advancing biomedical text mining with community challenges","hui zong, rongrong wu, jiaxue cha, erman wu, jiakun li, liang tao, zuofeng li, buzhou tang, bairong shen","artificial intelligence","the field of biomedical research has witnessed a significant increase in the accumulation of vast amounts of textual data from various sources such as scientific literatures, electronic health records, clinical trial reports, and social media. however, manually processing and analyzing these extensive and complex resources is time-consuming and inefficient. to address this challenge, biomedical text mining, also known as biomedical natural language processing, has garnered great attention. community challenge evaluation competitions have played an important role in promoting technology innovation and interdisciplinary collaboration in biomedical text mining research. these challenges provide platforms for researchers to develop state-of-the-art solutions for data mining and information processing in biomedical research. in this article, we review the recent advances in community challenges specific to chinese biomedical text mining. firstly, we collect the information of these evaluation tasks, such as data sources and task types. secondly, we conduct systematic summary and comparative analysis, including named entity recognition, entity normalization, attribute extraction, relation extraction, event extraction, text classification, text similarity, knowledge graph construction, question answering, text generation, and large language model evaluation. then, we summarize the potential clinical applications of these community challenge tasks from translational informatics perspective. finally, we discuss the contributions and limitations of these community challenges, while highlighting future directions in the era of large language models.",2024-03-07
"measuring technological convergence in encryption technologies with proximity indices: a text mining and bibliometric analysis using openalex","alessandro tavazzi, dimitri percia david, julian jang-jaccard, alain mermoud","computers and society","identifying technological convergence among emerging technologies in cybersecurity is crucial for advancing science and fostering innovation. unlike previous studies focusing on the binary relationship between a paper and the concept it attributes to technology, our approach utilizes attribution scores to enhance the relationships between research papers, combining keywords, citation rates, and collaboration status with specific technological concepts. the proposed method integrates text mining and bibliometric analyses to formulate and predict technological proximity indices for encryption technologies using the ""openalex"" catalog. our case study findings highlight a significant convergence between blockchain and public-key cryptography, evidenced by the increasing proximity indices. these results offer valuable strategic insights for those contemplating investments in these domains.",2024-03-03
"text mining in education","r. ferreira-mello, m. andre, a. pinheiro, e. costa, c. romero","information retrieval","the explosive growth of online education environments is generating a massive volume of data, specially in text format from forums, chats, social networks, assessments, essays, among others. it produces exciting challenges on how to mine text data in order to find useful knowledge for educational stakeholders. despite the increasing number of educational applications of text mining published recently, we have not found any paper surveying them. in this line, this work presents a systematic overview of the current status of the educational text mining field. our final goal is to answer three main research questions: which are the text mining techniques most used in educational environments? which are the most used educational resources? and which are the main applications or educational goals? finally, we outline the conclusions and the more interesting future trends.",2024-02-11
"is chatgpt the future of causal text mining? a comprehensive evaluation and analysis","takehiro takayanagi, masahiro suzuki, ryotaro kobayashi, hiroki sakaji, kiyoshi izumi","computation and language","causality is fundamental in human cognition and has drawn attention in diverse research fields. with growing volumes of textual data, discerning causalities within text data is crucial, and causal text mining plays a pivotal role in extracting meaningful patterns. this study conducts comprehensive evaluations of chatgpt's causal text mining capabilities. firstly, we introduce a benchmark that extends beyond general english datasets, including domain-specific and non-english datasets. we also provide an evaluation framework to ensure fair comparisons between chatgpt and previous approaches. finally, our analysis outlines the limitations and future challenges in employing chatgpt for causal text mining. specifically, our analysis reveals that chatgpt serves as a good starting point for various datasets. however, when equipped with a sufficient amount of training data, previous models still surpass chatgpt's performance. additionally, chatgpt suffers from the tendency to falsely recognize non-causal sequences as causal sequences. these issues become even more pronounced with advanced versions of the model, such as gpt-4. in addition, we highlight the constraints of chatgpt in handling complex causality types, including both intra/inter-sentential and implicit causality. the model also faces challenges with effectively leveraging in-context learning and domain adaptation. we release our code to support further research and development in this field.",2024-02-22
"hunflair2 in a cross-corpus evaluation of biomedical named entity recognition and normalization tools","mario sänger, samuele garda, xing david wang, leon weber-genzel, pia droop, benedikt fuchs, alan akbik, ulf leser","computation and language","with the exponential growth of the life science literature, biomedical text mining (btm) has become an essential technology for accelerating the extraction of insights from publications. identifying named entities (e.g., diseases, drugs, or genes) in texts and their linkage to reference knowledge bases are crucial steps in btm pipelines to enable information aggregation from different documents. however, tools for these two steps are rarely applied in the same context in which they were developed. instead, they are applied in the wild, i.e., on application-dependent text collections different from those used for the tools' training, varying, e.g., in focus, genre, style, and text type. this raises the question of whether the reported performance of btm tools can be trusted for downstream applications. here, we report on the results of a carefully designed cross-corpus benchmark for named entity extraction, where tools were applied systematically to corpora not used during their training. based on a survey of 28 published systems, we selected five for an in-depth analysis on three publicly available corpora encompassing four different entity types. comparison between tools results in a mixed picture and shows that, in a cross-corpus setting, the performance is significantly lower than the one reported in an in-corpus setting. hunflair2 showed the best performance on average, being closely followed by pubtator. our results indicate that users of btm tools should expect diminishing performances when applying them in the wild compared to original publications and show that further research is necessary to make btm tools more robust.",2024-02-19
"construction of a syntactic analysis map for yi shui school through text mining and natural language processing research","hanqing zhao, yuehan li","computation and language","entity and relationship extraction is a crucial component in natural language processing tasks such as knowledge graph construction, question answering system design, and semantic analysis. most of the information of the yishui school of traditional chinese medicine (tcm) is stored in the form of unstructured classical chinese text. the key information extraction of tcm texts plays an important role in mining and studying the academic schools of tcm. in order to solve these problems efficiently using artificial intelligence methods, this study constructs a word segmentation and entity relationship extraction model based on conditional random fields under the framework of natural language processing technology to identify and extract the entity relationship of traditional chinese medicine texts, and uses the common weighting technology of tf-idf information retrieval and data mining to extract important key entity information in different ancient books. the dependency syntactic parser based on neural network is used to analyze the grammatical relationship between entities in each ancient book article, and it is represented as a tree structure visualization, which lays the foundation for the next construction of the knowledge graph of yishui school and the use of artificial intelligence methods to carry out the research of tcm academic schools.",2024-02-16
"multi-fidelity methods for optimization: a survey","ke li, fan li","machine learning","real-world black-box optimization often involves time-consuming or costly experiments and simulations. multi-fidelity optimization (mfo) stands out as a cost-effective strategy that balances high-fidelity accuracy with computational efficiency through a hierarchical fidelity approach. this survey presents a systematic exploration of mfo, underpinned by a novel text mining framework based on a pre-trained language model. we delve deep into the foundational principles and methodologies of mfo, focusing on three core components -- multi-fidelity surrogate models, fidelity management strategies, and optimization techniques. additionally, this survey highlights the diverse applications of mfo across several key domains, including machine learning, engineering design optimization, and scientific discovery, showcasing the adaptability and effectiveness of mfo in tackling complex computational challenges. furthermore, we also envision several emerging challenges and prospects in the mfo landscape, spanning scalability, the composition of lower fidelities, and the integration of human-in-the-loop approaches at the algorithmic level. we also address critical issues related to benchmarking and the advancement of open science within the mfo community. overall, this survey aims to catalyze further research and foster collaborations in mfo, setting the stage for future innovations and breakthroughs in the field.",2024-02-15
"a step towards the integration of machine learning and small area estimation","tomasz żądło, adam chwila","methodology","the use of machine-learning techniques has grown in numerous research areas. currently, it is also widely used in statistics, including the official statistics for data collection (e.g. satellite imagery, web scraping and text mining, data cleaning, integration and imputation) but also for data analysis. however, the usage of these methods in survey sampling including small area estimation is still very limited. therefore, we propose a predictor supported by these algorithms which can be used to predict any population or subpopulation characteristics based on cross-sectional and longitudinal data. machine learning methods have already been shown to be very powerful in identifying and modelling complex and nonlinear relationships between the variables, which means that they have very good properties in case of strong departures from the classic assumptions. therefore, we analyse the performance of our proposal under a different set-up, in our opinion of greater importance in real-life surveys. we study only small departures from the assumed model, to show that our proposal is a good alternative in this case as well, even in comparison with optimal methods under the model. what is more, we propose the method of the accuracy estimation of machine learning predictors, giving the possibility of the accuracy comparison with classic methods, where the accuracy is measured as in survey sampling practice. the solution of this problem is indicated in the literature as one of the key issues in integration of these approaches. the simulation studies are based on a real, longitudinal dataset, freely available from the polish local data bank, where the prediction problem of subpopulation characteristics in the last period, with ""borrowing strength"" from other subpopulations and time periods, is considered.",2024-02-12
"how to refactor this code? an exploratory study on developer-chatgpt refactoring conversations","eman abdullah alomar, anushkrishna venkatakrishnan, mohamed wiem mkaouer, christian d. newman, ali ouni","software engineering","large language models (llms), like chatgpt, have gained widespread popularity and usage in various software engineering tasks, including refactoring, testing, code review, and program comprehension. despite recent studies delving into refactoring documentation in commit messages, issues, and code review, little is known about how developers articulate their refactoring needs when interacting with chatgpt. in this paper, our goal is to explore conversations between developers and chatgpt related to refactoring to better understand how developers identify areas for improvement in code and how chatgpt addresses developers' needs. our approach relies on text mining refactoring-related conversations from 17,913 chatgpt prompts and responses, and investigating developers' explicit refactoring intention. our results reveal that (1) developer-chatgpt conversations commonly involve generic and specific terms/phrases; (2) developers often make generic refactoring requests, while chatgpt typically includes the refactoring intention; and (3) various learning settings when prompting chatgpt in the context of refactoring. we envision that our findings contribute to a broader understanding of the collaboration between developers and ai models, in the context of code refactoring, with implications for model improvement, tool development, and best practices in software engineering.",2024-02-08
"quantifying similarity: text-mining approaches to evaluate chatgpt and google bard content in relation to biomedical literature","jakub klimczak, ahmed abdeen hamed","computation and language","background: the emergence of generative ai tools, empowered by large language models (llms), has shown powerful capabilities in generating content. to date, the assessment of the usefulness of such content, generated by what is known as prompt engineering, has become an interesting research question. objectives using the mean of prompt engineering, we assess the similarity and closeness of such contents to real literature produced by scientists. methods in this exploratory analysis, (1) we prompt-engineer chatgpt and google bard to generate clinical content to be compared with literature counterparts, (2) we assess the similarities of the contents generated by comparing them with counterparts from biomedical literature. our approach is to use text-mining approaches to compare documents and associated bigrams and to use network analysis to assess the terms' centrality. results the experiments demonstrated that chatgpt outperformed google bard in cosine document similarity (38% to 34%), jaccard document similarity (23% to 19%), tf-idf bigram similarity (47% to 41%), and term network centrality (degree and closeness). we also found new links that emerged in chatgpt bigram networks that did not exist in literature bigram networks. conclusions: the obtained similarity results show that chatgpt outperformed google bard in document similarity, bigrams, and degree and closeness centrality. we also observed that chatgpt offers linkage to terms that are connected in the literature. such connections could inspire asking interesting questions and generate new hypotheses.",2024-01-19
